Date,Time,Pair,Price
10/13/2022,06:01:51 PM,WBTC/USD,19427.0
10/13/2022,06:01:52 PM,WBTC/USD,19435.14
10/13/2022,06:01:53 PM,WBTC/USD,19435.26
10/13/2022,06:01:54 PM,WBTC/USD,19439.0
10/13/2022,06:01:55 PM,WBTC/USD,19433.97
10/13/2022,06:01:56 PM,WBTC/USD,19439.0
10/13/2022,06:01:57 PM,WBTC/USD,19424.0
10/13/2022,06:01:58 PM,WBTC/USD,19424.0
10/13/2022,06:01:59 PM,WBTC/USD,19424.0
10/13/2022,06:02:00 PM,WBTC/USD,19424.0
10/13/2022,06:02:01 PM,WBTC/USD,19424.0
10/13/2022,06:02:02 PM,WBTC/USD,19424.0
10/13/2022,06:02:03 PM,WBTC/USD,19434.0
10/13/2022,06:02:04 PM,WBTC/USD,19434.0
10/13/2022,06:02:05 PM,WBTC/USD,19434.0
10/13/2022,06:02:06 PM,WBTC/USD,19434.0
10/13/2022,06:02:08 PM,WBTC/USD,19434.0
10/13/2022,06:02:09 PM,WBTC/USD,19423.0
10/13/2022,06:02:10 PM,WBTC/USD,19439.0
10/13/2022,06:02:11 PM,WBTC/USD,19439.0
10/13/2022,06:02:12 PM,WBTC/USD,19439.0
10/13/2022,06:02:13 PM,WBTC/USD,19439.0
10/13/2022,06:02:14 PM,WBTC/USD,19432.0
10/13/2022,06:02:15 PM,WBTC/USD,19427.0
10/13/2022,06:02:16 PM,WBTC/USD,19432.0
10/13/2022,06:02:17 PM,WBTC/USD,19432.0
10/13/2022,06:02:18 PM,WBTC/USD,19432.0
10/13/2022,06:02:19 PM,WBTC/USD,19432.0
10/13/2022,06:02:20 PM,WBTC/USD,19432.0
10/13/2022,06:02:21 PM,WBTC/USD,19436.0
10/13/2022,06:02:22 PM,WBTC/USD,19432.0
10/13/2022,06:02:24 PM,WBTC/USD,19432.0
10/13/2022,06:02:24 PM,WBTC/USD,19432.0
10/13/2022,06:02:25 PM,WBTC/USD,19426.19
10/13/2022,06:02:27 PM,WBTC/USD,19425.5
10/13/2022,06:02:27 PM,WBTC/USD,19425.49
10/13/2022,06:02:29 PM,WBTC/USD,19424.82
10/13/2022,06:02:30 PM,WBTC/USD,19425.48
10/13/2022,06:02:31 PM,WBTC/USD,19426.12
10/13/2022,06:02:32 PM,WBTC/USD,19425.98
10/13/2022,06:02:33 PM,WBTC/USD,19426.58
10/13/2022,06:02:34 PM,WBTC/USD,19429.63
