Date,Time,Pair,Price
10/06/2022,10:39:04,WBTC/USD,20044.55
10/06/2022,10:39:05,WBTC/USD,20044.86
10/06/2022,10:39:06,WBTC/USD,20044.85
10/06/2022,10:39:07,WBTC/USD,20045.56
10/06/2022,10:39:08,WBTC/USD,20046.74
10/06/2022,10:39:10,WBTC/USD,20047.0
10/06/2022,10:39:11,WBTC/USD,20046.0
10/06/2022,10:39:12,WBTC/USD,20046.0
10/06/2022,10:39:13,WBTC/USD,20046.0
10/06/2022,10:39:14,WBTC/USD,20046.0
10/06/2022,10:39:15,WBTC/USD,20046.0
10/06/2022,10:39:16,WBTC/USD,20046.0
10/06/2022,10:39:18,WBTC/USD,20047.0
10/06/2022,10:39:18,WBTC/USD,20047.0
10/06/2022,10:39:19,WBTC/USD,20047.0
10/06/2022,10:39:20,WBTC/USD,20047.0
10/06/2022,10:39:22,WBTC/USD,20047.0
10/06/2022,10:39:23,WBTC/USD,20047.1
10/06/2022,10:39:24,WBTC/USD,20047.85
10/06/2022,10:39:25,WBTC/USD,20050.0
10/06/2022,10:39:26,WBTC/USD,20050.0
10/06/2022,10:39:27,WBTC/USD,20050.0
10/06/2022,10:39:29,WBTC/USD,20050.0
10/06/2022,10:39:30,WBTC/USD,20050.0
10/06/2022,10:39:31,WBTC/USD,20050.0
10/06/2022,10:39:32,WBTC/USD,20050.0
10/06/2022,10:39:33,WBTC/USD,20050.0
10/06/2022,10:39:34,WBTC/USD,20050.0
10/06/2022,10:39:36,WBTC/USD,20050.0
10/06/2022,10:39:37,WBTC/USD,20049.0
10/06/2022,10:39:38,WBTC/USD,20049.0
10/06/2022,10:39:39,WBTC/USD,20049.0
10/06/2022,10:39:40,WBTC/USD,20049.0
10/06/2022,10:39:42,WBTC/USD,20049.0
10/06/2022,10:39:44,WBTC/USD,20049.0
10/06/2022,10:39:45,WBTC/USD,20049.0
10/06/2022,10:39:46,WBTC/USD,20049.0
10/06/2022,10:39:47,WBTC/USD,20049.0
10/06/2022,10:39:48,WBTC/USD,20049.0
10/06/2022,10:39:49,WBTC/USD,20049.0
10/06/2022,10:39:51,WBTC/USD,20049.0
10/06/2022,10:39:52,WBTC/USD,20049.0
10/06/2022,10:39:53,WBTC/USD,20049.0
10/06/2022,10:39:54,WBTC/USD,20049.0
10/06/2022,10:39:55,WBTC/USD,20049.0
10/06/2022,10:39:56,WBTC/USD,20049.0
10/06/2022,10:39:57,WBTC/USD,20049.0
10/06/2022,10:39:59,WBTC/USD,20049.0
10/06/2022,10:40:00,WBTC/USD,20046.48
10/06/2022,10:40:01,WBTC/USD,20049.0
10/06/2022,10:40:02,WBTC/USD,20049.0
10/06/2022,10:40:03,WBTC/USD,20049.0
10/06/2022,10:40:05,WBTC/USD,20049.0
10/06/2022,10:40:06,WBTC/USD,20049.0
10/06/2022,10:40:07,WBTC/USD,20049.0
10/06/2022,10:40:08,WBTC/USD,20050.61
10/06/2022,10:40:09,WBTC/USD,20053.0
10/06/2022,10:40:10,WBTC/USD,20050.78
10/06/2022,10:40:11,WBTC/USD,20050.0
10/06/2022,10:40:12,WBTC/USD,20050.0
10/06/2022,10:40:13,WBTC/USD,20050.0
10/06/2022,10:40:14,WBTC/USD,20050.0
10/06/2022,10:40:15,WBTC/USD,20050.0
10/06/2022,10:40:16,WBTC/USD,20051.0
10/06/2022,10:40:18,WBTC/USD,20051.0
10/06/2022,10:40:19,WBTC/USD,20050.82
10/06/2022,10:40:20,WBTC/USD,20051.0
10/06/2022,10:40:21,WBTC/USD,20051.96
10/06/2022,10:40:22,WBTC/USD,20051.7
10/06/2022,10:40:23,WBTC/USD,20053.0
10/06/2022,10:40:24,WBTC/USD,20053.0
10/06/2022,10:40:25,WBTC/USD,20053.0
10/06/2022,10:40:26,WBTC/USD,20053.0
10/06/2022,10:40:27,WBTC/USD,20053.0
10/06/2022,10:40:28,WBTC/USD,20053.0
10/06/2022,10:40:29,WBTC/USD,20053.0
10/06/2022,10:40:30,WBTC/USD,20053.0
10/06/2022,10:40:31,WBTC/USD,20053.0
10/06/2022,10:40:32,WBTC/USD,20053.0
10/06/2022,10:40:34,WBTC/USD,20053.0
10/06/2022,10:40:35,WBTC/USD,20053.0
10/06/2022,10:40:36,WBTC/USD,20053.0
